filename,width,height,class,xmin,ymin,xmax,ymax
da-mong-noi-gan-mau-la-benh-gi-2_jpg.rf.01f6417b3f8697cd1ec8c8b3b83b972e.jpg,640,640,Skin-Redness,214,0,355,195
24604-eczema-on-face_jpg.rf.02bc0cd7f1a61cf80701ae6ddcaf9335.jpg,640,640,Skin-Redness,439,337,531,452
24604-eczema-on-face_jpg.rf.02bc0cd7f1a61cf80701ae6ddcaf9335.jpg,640,640,Skin-Redness,317,325,362,411
24604-eczema-on-face_jpg.rf.02bc0cd7f1a61cf80701ae6ddcaf9335.jpg,640,640,Skin-Redness,343,354,435,531
24604-eczema-on-face_jpg.rf.02bc0cd7f1a61cf80701ae6ddcaf9335.jpg,640,640,Skin-Redness,359,153,463,283
24604-eczema-on-face_jpg.rf.02bc0cd7f1a61cf80701ae6ddcaf9335.jpg,640,640,Skin-Redness,389,17,528,145
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Wrinkles,412,31,448,180
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Wrinkles,211,0,248,218
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dry-Skin,263,112,388,158
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Skin-Redness,260,188,410,345
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Acne,349,217,358,234
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Acne,310,208,318,221
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Acne,327,204,339,222
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,196,174,206,188
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,474,164,492,200
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,514,469,526,487
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,582,455,591,472
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,419,325,428,341
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,372,352,387,365
kering_-70-_jpg.rf.0830a5e450bb26e0944a954b9b6ad905.jpg,640,640,Dark-Spots,341,482,352,497
left_side_jpg.rf.05a2a8e63680a7ac61586d86898db516.jpg,640,640,Skin-Redness,211,310,364,425
left_side_jpg.rf.05a2a8e63680a7ac61586d86898db516.jpg,640,640,Skin-Redness,107,204,222,288
left_side_jpg.rf.05a2a8e63680a7ac61586d86898db516.jpg,640,640,Skin-Redness,161,424,279,470
left_side_jpg.rf.05a2a8e63680a7ac61586d86898db516.jpg,640,640,Skin-Redness,109,321,151,365
Skin-Redness_jpg.rf.02f71057acd3ecc9d279753894eb6d83.jpg,640,640,Skin-Redness,363,238,483,439
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,278,456,338,493
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,330,197,355,223
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,395,392,422,418
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,207,515,255,552
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,449,313,482,342
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,417,190,437,211
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,579,246,618,277
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Eyebags,183,60,338,133
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,328,136,361,171
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Skin-Redness,232,211,272,245
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,368,222,400,247
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,492,65,516,91
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Skin-Redness,509,294,549,330
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,301,305,318,324
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,334,312,348,328
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,359,333,378,356
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,361,364,384,382
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,300,356,325,381
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,173,491,191,512
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,117,448,140,490
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Acne,120,295,142,318
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Dark-Spots,186,302,206,324
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Englarged-Pores,133,183,204,241
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Englarged-Pores,256,92,375,275
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Oily-Skin,226,65,417,310
acne-7-_jpg.rf.0614b7040c9cbb2abdc5eac249062b13.jpg,640,640,Oily-Skin,58,174,182,279
